1033,1026,1136,1026,1136,1070,1033,1070
1825,1026,2001,1026,2001,1070,1825,1070
2001,1026,2301,1026,2301,1070,2001,1070
2309,1026,2551,1026,2551,1070,2309,1070
2558,1026,2661,1026,2661,1070,2558,1070
300,1033,476,1033,476,1077,300,1077
476,1033,784,1033,784,1077,476,1077
1148,1070,1275,1061,1278,1107,1151,1116
2675,1062,2800,1062,2800,1106,2675,1106
1656,1136,2030,1136,2030,1180,1656,1180
2030,1136,2162,1136,2162,1180,2030,1180
2162,1136,2235,1136,2235,1180,2162,1180
2228,1136,2323,1136,2323,1180,2228,1180
2316,1136,2507,1136,2507,1180,2316,1180
2507,1136,2580,1136,2580,1180,2507,1180
2580,1136,2734,1136,2734,1180,2580,1180
2734,1136,2829,1136,2829,1180,2734,1180
131,1143,505,1143,505,1187,131,1187
505,1143,645,1143,645,1187,505,1187
637,1143,711,1143,711,1180,637,1180
703,1143,791,1143,791,1180,703,1180
791,1143,982,1143,982,1180,791,1180
982,1143,1055,1143,1055,1180,982,1180
1055,1143,1209,1143,1209,1187,1055,1187
1209,1143,1304,1143,1304,1180,1209,1180
131,1180,373,1180,373,1224,131,1224
1656,1180,1898,1180,1898,1216,1656,1216
1505,1143,2995,1235,2954,1897,1465,1805
2580,1312,2785,1312,2785,1348,2580,1348
2778,1312,2844,1312,2844,1348,2778,1348
1055,1319,1260,1319,1260,1356,1055,1356
1253,1319,1319,1319,1319,1356,1253,1356
2580,1348,2785,1348,2785,1385,2580,1385
1055,1356,1260,1356,1260,1392,1055,1392
1656,1810,1781,1810,1781,1847,1656,1847
1774,1810,2001,1810,2001,1840,1774,1840
131,1818,249,1818,249,1840,131,1840
249,1818,476,1818,476,1840,249,1840
1216,1818,1326,1818,1326,1854,1216,1854
2741,1818,2837,1818,2837,1840,2741,1840
1686,1847,2125,1847,2125,1876,1686,1876
161,1854,608,1854,608,1891,161,1891
1077,1854,1202,1854,1202,1891,1077,1891
2206,1854,2309,1854,2309,1884,2206,1884
2316,1854,2397,1854,2397,1891,2316,1891
2397,1854,2499,1854,2499,1891,2397,1891
2499,1854,2602,1854,2602,1891,2499,1891
2602,1854,2727,1854,2727,1891,2602,1891
2727,1854,2844,1854,2844,1891,2727,1891
608,1862,784,1862,784,1891,608,1891
791,1862,865,1862,865,1884,791,1884
872,1862,967,1862,967,1884,872,1884
975,1862,1070,1862,1070,1884,975,1884
1202,1862,1312,1862,1312,1884,1202,1884
2133,1862,2206,1862,2206,1876,2133,1876
1686,1876,1759,1876,1759,1906,1686,1906
161,1884,241,1884,241,1920,161,1920
241,1884,322,1884,322,1920,241,1920
315,1884,439,1884,439,1920,315,1920
432,1884,549,1884,549,1920,432,1920
1766,1884,1840,1884,1840,1906,1766,1906
1847,1884,2074,1884,2074,1920,1847,1920
681,1964,725,1964,725,2001,681,2001
1561,2015,2932,2015,2932,2059,1561,2059
29,2023,1407,2023,1407,2067,29,2067
2385,2040,2638,2063,2629,2169,2375,2146
857,2059,1106,2059,1106,2162,857,2162
1495,2030,3042,2030,3042,3995,1495,3995
0,2037,1546,2037,1546,4002,0,4002
2888,2147,3042,2147,3042,2404,2888,2404
1363,2155,1517,2155,1517,2411,1363,2411
2074,2199,2118,2199,2118,2221,2074,2221
2235,2199,2279,2199,2279,2221,2235,2221
2279,2191,2507,2191,2507,2221,2279,2221
469,2199,601,2199,601,2228,469,2228
601,2199,703,2199,703,2228,601,2228
711,2199,762,2199,762,2235,711,2235
755,2199,938,2199,938,2228,755,2228
2030,2199,2074,2199,2074,2221,2030,2221
2177,2199,2228,2199,2228,2221,2177,2221
1847,2492,1964,2492,1964,2514,1847,2514
395,2499,439,2499,439,2521,395,2521
2089,2573,2353,2573,2353,2668,2089,2668
561,2587,833,2573,838,2671,566,2685
1884,2778,1994,2778,1994,2800,1884,2800
564,2939,659,2939,659,2954,564,2954
95,3013,256,3013,256,3137,95,3137
1620,3013,1781,3013,1781,3130,1620,3130
2565,3078,2646,3078,2646,3100,2565,3100
2367,3086,2448,3086,2448,3108,2367,3108
